"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.150894875E0,-6.336534861E-4,1.530657872E-3,8.730499540E-4
3.160941875E0,8.076492231E-4,-3.490011441E-4,1.201950246E-3
3.170988875E0,-1.755941194E-4,-3.387812758E-4,-2.328070812E-3
3.181035875E0,2.137601841E-4,2.326244023E-3,-3.647883423E-4
3.191083875E0,2.796801040E-3,-1.658155816E-4,3.237826750E-4
3.201130875E0,7.592164911E-4,-5.312012509E-4,1.229802147E-4
3.211177875E0,2.244104166E-3,3.496126737E-5,-1.139529049E-4
3.221225875E0,1.428644173E-3,3.806396853E-4,2.772654407E-4
3.231272875E0,-1.784448861E-3,2.587866038E-4,2.582461806E-3
3.241319875E0,2.675546799E-3,3.177078441E-3,-3.133747261E-3
3.251367000E0,2.921132836E-4,-2.590015531E-3,-1.201212173E-3
3.261415000E0,-1.281849109E-5,-5.628173822E-4,8.768523112E-4
3.271462000E0,2.392790513E-3,-2.540636342E-4,-3.078971757E-3
3.281509000E0,-7.742405869E-4,-1.156342565E-3,5.876459181E-5
3.291556000E0,-1.998447813E-3,1.226153574E-3,-1.093370374E-4
3.301604000E0,-1.515350305E-3,1.042395481E-3,-3.743215930E-4
3.311651000E0,-8.193554822E-5,-2.725898754E-3,2.330452669E-3
3.321698000E0,2.716780407E-3,-3.508917289E-4,-4.831766710E-4
3.331746000E0,3.727432340E-4,3.895400558E-3,2.245590324E-3
3.341793000E0,2.028164221E-3,1.013061497E-3,-1.056196634E-3
3.351840000E0,8.243131451E-4,-5.736720050E-4,-3.999597393E-4
3.361887000E0,9.141117334E-5,1.504925196E-3,-4.891755525E-4
3.371935000E0,8.784644306E-4,2.313242294E-5,1.222870545E-3
3.381982000E0,-8.730967529E-4,-4.184196587E-4,-7.115956396E-5
3.392029000E0,-1.314964611E-3,4.187936429E-5,-1.080370974E-3
3.402077000E0,2.131432295E-3,2.236856613E-3,2.075208584E-3
3.412124000E0,7.129216101E-4,-5.559748388E-4,1.553951530E-3
3.422171000E0,-1.163541805E-3,1.450184383E-3,5.275690928E-4
3.432218000E0,2.622448374E-4,9.197101463E-5,-2.449280582E-3
3.442266000E0,-2.191448584E-5,-5.775477039E-4,1.405911520E-3
3.452313000E0,1.276093302E-3,-3.230472794E-4,-9.059607983E-4
3.462360000E0,4.750143271E-4,1.446037786E-4,-7.917112671E-4
3.472407000E0,-7.505222457E-4,2.497037640E-4,2.216405468E-3
3.482455000E0,1.738467952E-3,1.309641870E-3,6.241013762E-4
3.492502000E0,-4.441686906E-5,-1.195680932E-3,-2.380640013E-3
3.502549000E0,-1.983198104E-3,-8.827594575E-4,5.831918679E-4
3.512597000E0,-8.103724103E-4,-1.129421988E-3,3.306142520E-3
3.522644000E0,8.679516613E-4,1.997395419E-3,-1.003067009E-4
3.532691000E0,7.107877173E-5,-1.103612711E-3,6.375927478E-4
3.542738000E0,1.488146605E-3,-2.761685755E-4,-1.281747362E-3
3.552786000E0,1.693333266E-3,1.249982743E-3,-1.438837382E-3
3.562833000E0,5.202109460E-4,-6.706890417E-4,-3.418812994E-4
3.572880000E0,5.413657054E-4,-9.439526475E-4,2.496781526E-3
3.582927000E0,-1.005398110E-3,-1.000411692E-3,8.517468814E-4
3.592975000E0,2.524720039E-4,5.093489308E-4,-4.663525615E-4
3.603022000E0,-3.949424718E-4,-2.505349461E-3,-4.439821932E-4
3.613069000E0,1.892745495E-4,-1.398761291E-3,8.134066593E-4
3.623117000E0,-8.211288368E-4,-7.625321159E-4,1.082652481E-3
3.633164000E0,-3.559990786E-3,3.047843464E-3,-7.496012840E-4
3.643211000E0,1.615329878E-3,-5.777839688E-4,2.461546101E-4
3.653258000E0,2.619184088E-3,5.048696185E-4,-9.912671521E-5
3.663306000E0,3.400510177E-4,6.151245907E-4,2.412766917E-3
3.673353000E0,1.301046461E-3,1.019609859E-3,2.541620051E-3
3.683400000E0,1.157235820E-3,-3.825444146E-4,7.767432835E-4
3.693448000E0,3.867130727E-4,-2.731843386E-3,7.851151749E-4
3.703495000E0,2.660253551E-3,-4.902607179E-4,-2.447695937E-3
3.713542000E0,3.797113895E-4,1.126009738E-4,-2.010412281E-3
3.723589000E0,1.091574552E-3,-3.412016085E-4,-3.816229291E-4
3.733637000E0,2.019540407E-4,1.534223557E-4,-1.000124495E-3
3.743684000E0,-1.109880395E-5,-9.105105419E-4,-2.371119801E-3
3.753731000E0,-3.403705778E-4,2.361017978E-3,3.382051364E-4
3.763778000E0,-1.052233507E-3,6.111210678E-5,-5.699328613E-4
3.773826000E0,-5.634283880E-4,8.730000118E-4,7.910926361E-4
