"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.632195340E-1,7.366096228E-2,1.003106594E0,9.697496414E0
7.657327630E-1,1.024067104E-1,1.012688518E0,9.716060638E0
7.682459920E-1,5.449713767E-2,1.032451272E0,9.701687813E0
7.707592210E-1,4.012426734E-2,1.008496523E0,9.687314987E0
7.732724500E-1,5.389826745E-2,1.022869349E0,9.692106247E0
7.757856790E-1,2.994348109E-2,1.008496523E0,9.701088905E0
7.782989090E-1,4.910730943E-2,1.032451272E0,9.720252991E0
7.808121380E-1,5.868922547E-2,1.046824098E0,9.686716080E0
7.833254190E-1,2.515252493E-2,1.075569868E0,9.643597603E0
7.858386480E-1,1.018078346E-2,1.047423005E0,9.638806343E0
7.883518770E-1,1.976269856E-2,1.037841082E0,9.705281258E0
7.908651070E-1,-4.731070250E-2,1.071377754E0,9.700489998E0
7.933783360E-1,-2.814687230E-2,1.057004929E0,9.643597603E0
7.958915650E-1,-2.814687230E-2,1.052213907E0,9.695699692E0
7.984047940E-1,-2.874574251E-2,1.057603836E0,9.719055176E0
8.009180230E-1,-4.311861470E-2,1.086349487E0,9.680727959E0
8.034312520E-1,-6.707339734E-2,1.091140509E0,9.709473610E0
8.059444820E-1,-1.054010540E-1,1.110304356E0,9.699891090E0
8.084577630E-1,-9.581914544E-2,1.076767564E0,9.628026962E0
8.109709920E-1,-7.725418359E-2,1.091140509E0,9.632818222E0
8.134842210E-1,-6.767226756E-2,1.124677181E0,9.656772614E0
8.159974500E-1,-4.850843921E-2,1.119886160E0,9.628026962E0
8.185106790E-1,-5.389826745E-2,1.134858012E0,9.580117226E0
8.210239090E-1,-7.785305381E-2,1.125276089E0,9.622637749E0
8.235371380E-1,-7.306209207E-2,1.130066991E0,9.603473663E0
8.260503670E-1,-7.785305381E-2,1.154021740E0,9.593891144E0
8.285635960E-1,-1.161807105E-1,1.149230838E0,9.546581268E0
8.310768770E-1,-1.071976647E-1,1.177976608E0,9.579518318E0
8.335901070E-1,-7.366096228E-2,1.149829745E0,9.622038841E0
8.361033360E-1,-1.024067104E-1,1.149829745E0,9.607666016E0
8.386165650E-1,-9.761574864E-2,1.173784494E0,9.631620407E0
8.411297940E-1,-9.821461886E-2,1.159411669E0,9.574129105E0
8.436430230E-1,-8.863270283E-2,1.149829745E0,9.631021500E0
8.461562520E-1,-8.863270283E-2,1.073773265E0,9.621439934E0
8.486694820E-1,-6.527678668E-2,1.088146091E0,9.592694283E0
8.511827110E-1,-9.881348908E-2,1.126473784E0,9.631021500E0
8.536959400E-1,-3.712991625E-2,1.131264687E0,9.683123589E0
8.562092210E-1,-7.066661865E-2,1.107309937E0,9.677733421E0
8.587224500E-1,-4.192087427E-2,1.098326921E0,9.734625816E0
8.612356790E-1,-3.233896196E-2,1.103117824E0,9.725044250E0
8.637489090E-1,-7.066661865E-2,1.136654615E0,9.687314987E0
8.662621380E-1,-1.856495813E-2,1.146236539E0,9.748998642E0
8.687753670E-1,-1.856495813E-2,1.127072692E0,9.781936646E0
8.712885960E-1,-7.605644315E-2,1.117490768E0,9.800501823E0
8.738018250E-1,-7.186435908E-2,1.136654615E0,9.810083389E0
8.763150540E-1,-6.707339734E-2,1.137253404E0,9.829247475E0
8.788282840E-1,-4.311861470E-2,1.103716731E0,9.838230133E0
8.813415650E-1,-5.749148503E-2,1.108507752E0,9.814275742E0
8.838547940E-1,-9.102818370E-2,1.089343905E0,9.814275742E0
8.863680230E-1,-4.850843921E-2,1.132462502E0,9.819067001E0
8.888812520E-1,3.593217814E-3,1.094733715E0,9.775947571E0
8.913944820E-1,-1.077965368E-2,1.142643213E0,9.813676834E0
8.939077110E-1,-3.473443910E-2,1.133061409E0,9.780738831E0
8.964209400E-1,-3.952539712E-2,1.195343852E0,9.775947571E0
8.989341690E-1,7.785305381E-3,1.152225137E0,9.751993179E0
9.014473980E-1,2.694913372E-2,1.118688464E0,9.704083443E0
9.039606270E-1,-3.533330932E-2,1.104914427E0,9.694501877E0
9.064739090E-1,-1.197739318E-2,1.109705448E0,9.704083443E0
9.089871380E-1,2.635026351E-2,1.080959678E0,9.665756226E0
9.115003670E-1,1.676834933E-2,1.066586852E0,9.675337791E0
9.140135960E-1,-1.197739318E-2,1.109705448E0,9.698693275E0
9.165268250E-1,-2.994348295E-3,1.109705448E0,9.722049713E0
9.190400540E-1,6.587565877E-3,1.100722432E0,9.712468147E0
9.215532840E-1,1.616948098E-2,1.100722432E0,9.707676888E0
9.240665130E-1,2.036156692E-2,1.110304356E0,9.698095322E0
9.265797420E-1,1.197739271E-3,1.124677181E0,9.722049713E0
9.290930230E-1,2.036156692E-2,1.110304356E0,9.745405197E0
9.316062520E-1,6.288131326E-2,1.115095258E0,9.797507286E0
9.341194820E-1,2.455365472E-2,1.130066991E0,9.787925720E0
9.366327110E-1,1.976269856E-2,1.106112242E0,9.735823631E0
9.391459400E-1,5.749148503E-2,1.144439816E0,9.768761635E0
9.416591690E-1,4.311861470E-2,1.110903144E0,9.735224724E0
9.441723980E-1,2.395478636E-2,1.049219608E0,9.749597549E0
9.466856270E-1,1.437287126E-2,1.082756281E0,9.763371468E0
9.491988570E-1,9.581914172E-3,1.049219608E0,9.772953987E0
9.517120860E-1,3.293782845E-2,1.068383455E0,9.758581161E0
9.542253670E-1,7.126548886E-2,1.049219608E0,9.696298599E0
9.567385960E-1,5.629374459E-2,1.097129226E0,9.615450859E0
9.592518250E-1,2.754800394E-2,1.097129226E0,9.663360596E0
9.617650540E-1,3.712991625E-2,1.135456800E0,9.686716080E0
9.642782840E-1,1.796608977E-2,1.121682882E0,9.638806343E0
9.667915130E-1,6.048583239E-2,1.083355188E0,9.619643211E0
9.693047420E-1,6.048583239E-2,1.155219555E0,9.614851952E0
9.718179710E-1,5.569487438E-2,1.164801478E0,9.624433517E0
9.743312000E-1,5.090392008E-2,1.136055708E0,9.642998695E0
9.768444290E-1,4.551409185E-2,1.117490768E0,9.681326866E0
9.793577110E-1,3.114122152E-2,1.088744998E0,9.647789955E0
9.818709400E-1,3.593217954E-2,1.107908845E0,9.642998695E0
9.843841690E-1,4.551409185E-2,1.151027441E0,9.747201920E0
9.868973980E-1,7.366096228E-2,1.136654615E0,9.723247528E0
9.894106270E-1,7.845192403E-2,1.127072692E0,9.718456268E0
9.919238570E-1,6.887000799E-2,1.113298655E0,9.751394272E0
9.944370860E-1,6.348018348E-2,1.046225309E0,9.732230186E0
9.969503150E-1,6.827113777E-2,1.084552884E0,9.699292183E0
9.994635440E-1,3.473443910E-2,1.070180058E0,9.760975838E0
1.001976773E0,1.059999242E-1,1.022869349E0,9.746603012E0
1.004490054E0,6.288131326E-2,1.042033195E0,9.732230186E0
1.007003284E0,7.725418359E-2,1.022869349E0,9.669947624E0
1.009516513E0,1.197739244E-1,1.070778966E0,9.702885628E0
1.012029742E0,1.437287182E-1,1.037242174E0,9.641201973E0
1.014542971E0,1.389377564E-1,9.803496003E-1,9.617247581E0
1.017056200E0,1.383388788E-1,9.899315238E-1,9.645993233E0
1.019569429E0,1.353445351E-1,9.635812640E-1,9.645394325E0
1.022082659E0,1.497174054E-1,9.635812640E-1,9.645394325E0
1.024595888E0,1.640902758E-1,9.971179366E-1,9.664558411E0
1.027109169E0,1.353445351E-1,9.779540896E-1,9.721450806E0
1.029622398E0,1.545083672E-1,9.827450514E-1,9.659767151E0
