"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.099121900E-1,2.396842930E-3,-1.078579295E-2,-9.321055841E-4
6.124254710E-1,3.462106455E-3,-9.720529430E-3,1.198421465E-3
6.149387000E-1,2.396842930E-3,-6.524738856E-3,-1.997369109E-3
6.174519290E-1,7.723160554E-3,-6.524738856E-3,-1.997369109E-3
6.199651590E-1,1.091895066E-2,-4.394211806E-3,-3.062632633E-3
6.224783880E-1,1.198421419E-2,-1.331579406E-4,-1.997369109E-3
6.249916170E-1,1.304947771E-2,5.193159916E-3,-9.321055841E-4
6.275048460E-1,1.518000476E-2,5.193159916E-3,1.331579406E-4
6.300180750E-1,2.157158591E-2,4.127896391E-3,-4.127896391E-3
6.325313040E-1,2.370211296E-2,7.323686965E-3,-3.062632633E-3
6.350445340E-1,2.583264001E-2,5.193159916E-3,-9.321055841E-4
6.375578150E-1,2.796316706E-2,6.258423440E-3,1.198421465E-3
6.400710440E-1,2.583264001E-2,4.127896391E-3,1.331579406E-4
6.425842730E-1,2.370211296E-2,3.062632633E-3,-1.997369109E-3
6.450975020E-1,2.476737648E-2,-1.331579406E-4,1.331579406E-4
6.476107320E-1,2.370211296E-2,9.321055841E-4,3.328948515E-3
6.501239610E-1,1.944105886E-2,3.062632633E-3,3.328948515E-3
6.526371900E-1,1.731053181E-2,1.997369109E-3,3.328948515E-3
6.551504190E-1,1.304947771E-2,3.062632633E-3,5.459475331E-3
6.576636480E-1,5.592633504E-3,9.321055841E-4,4.394211806E-3
6.601769290E-1,1.331579406E-3,-3.328948515E-3,5.459475331E-3
6.626901590E-1,-5.060001742E-3,-2.263684990E-3,3.328948515E-3
6.652033880E-1,-9.321056306E-3,-4.394211806E-3,1.198421465E-3
6.677166170E-1,-1.251684688E-2,-4.394211806E-3,1.331579406E-4
6.702298460E-1,-1.784316450E-2,-5.459475331E-3,-3.062632633E-3
6.727430750E-1,-1.890842803E-2,-7.590002380E-3,-5.193159916E-3
6.752563040E-1,-1.784316450E-2,-4.394211806E-3,-4.127896391E-3
6.777695340E-1,-2.103895508E-2,-3.328948515E-3,-4.127896391E-3
6.802827630E-1,-1.890842803E-2,-5.459475331E-3,-5.193159916E-3
6.827959920E-1,-1.677790098E-2,-8.655265905E-3,-5.193159916E-3
6.853092730E-1,-1.997369155E-2,-6.524738856E-3,-5.193159916E-3
6.878225020E-1,-1.677790098E-2,-1.198421465E-3,-6.258423440E-3
6.903357320E-1,-1.358211040E-2,-1.331579406E-4,-1.997369109E-3
6.928489610E-1,-6.125265267E-3,1.997369109E-3,-1.065263525E-3
6.953621900E-1,1.331579406E-3,5.193159916E-3,1.065263525E-3
6.978754190E-1,6.657897029E-3,5.193159916E-3,2.130527049E-3
7.003886480E-1,1.198421419E-2,5.193159916E-3,3.195790574E-3
7.029018770E-1,1.091895066E-2,5.193159916E-3,3.195790574E-3
7.054151070E-1,1.518000476E-2,3.062632633E-3,5.326317623E-3
7.079283360E-1,2.263684943E-2,8.388950489E-3,5.326317623E-3
7.104416170E-1,2.476737648E-2,1.265000459E-2,9.587371722E-3
7.129548460E-1,2.476737648E-2,1.051947754E-2,7.456844673E-3
7.154680750E-1,2.796316706E-2,1.478053164E-2,9.587371722E-3
7.179813040E-1,2.902843058E-2,1.371526811E-2,1.171789877E-2
7.204945340E-1,2.902843058E-2,1.691105776E-2,1.384842582E-2
7.230077630E-1,2.689790353E-2,2.010684833E-2,1.597895287E-2
7.255209920E-1,2.476737648E-2,1.691105776E-2,1.704421639E-2
7.280342210E-1,2.370211296E-2,2.117211185E-2,1.810947992E-2
7.305474500E-1,2.157158591E-2,2.756369300E-2,1.917474344E-2
7.330606790E-1,1.624526829E-2,3.182474896E-2,1.917474344E-2
7.355739610E-1,1.518000476E-2,3.075948358E-2,1.917474344E-2
7.380871900E-1,8.788423613E-3,3.608580306E-2,2.237053402E-2
7.406004190E-1,2.396842930E-3,3.502053767E-2,2.024000697E-2
7.431136480E-1,2.396842930E-3,3.608580306E-2,2.024000697E-2
7.456268770E-1,-2.929474693E-3,2.982737869E-2,2.130527049E-2
7.481401070E-1,-8.255792782E-3,2.876211517E-2,2.024000697E-2
7.506533360E-1,-1.251684688E-2,2.024000697E-2,1.810947992E-2
7.531665650E-1,-1.784316450E-2,1.704421639E-2,1.810947992E-2
7.556797940E-1,-2.423474565E-2,1.491368935E-2,1.810947992E-2
7.581930750E-1,-2.423474565E-2,7.456844673E-3,1.384842582E-2
7.607063040E-1,-2.636527270E-2,2.130527049E-3,1.597895287E-2
7.632195340E-1,-3.062632680E-2,-5.326317623E-3,1.384842582E-2
7.657327630E-1,-3.169158846E-2,-6.391581148E-3,1.065263525E-2
7.682459920E-1,-3.062632680E-2,-7.456844673E-3,1.065263525E-2
7.707592210E-1,-3.275685385E-2,-7.456844673E-3,6.391581148E-3
7.732724500E-1,-3.169158846E-2,-8.522108197E-3,5.326317623E-3
7.757856790E-1,-2.956106327E-2,-7.456844673E-3,5.326317623E-3
7.782989090E-1,-2.956106327E-2,-5.326317623E-3,2.130527049E-3
7.808121380E-1,-3.062632680E-2,-6.391581148E-3,-0.000000000E0
7.833254190E-1,-2.530000918E-2,-4.261054099E-3,-0.000000000E0
7.858386480E-1,-1.890842803E-2,3.195790574E-3,-1.065263525E-3
7.883518770E-1,-1.571263745E-2,2.130527049E-3,-1.065263525E-3
7.908651070E-1,-1.464737393E-2,5.326317623E-3,1.065263525E-3
7.933783360E-1,-8.255792782E-3,9.587371722E-3,-0.000000000E0
7.958915650E-1,-3.994738217E-3,1.384842582E-2,2.130527049E-3
