"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.781386250E-1,6.910897046E-2,-4.926843569E-3,9.587371722E-3
6.806516980E-1,6.378265470E-2,-4.926843569E-3,9.587371722E-3
6.831647190E-1,5.419528112E-2,-3.861580277E-3,8.522108197E-3
6.856777400E-1,4.886896536E-2,-7.057370618E-3,5.326317623E-3
6.881907600E-1,4.460791126E-2,-1.025316119E-2,5.326317623E-3
6.907038330E-1,3.928159177E-2,-1.344895177E-2,3.195790574E-3
6.932168540E-1,3.608580306E-2,-1.451421529E-2,1.065263525E-3
6.957298750E-1,3.289001063E-2,-1.877526939E-2,0.000000000E0
6.982429480E-1,2.969422005E-2,-1.771000586E-2,0.000000000E0
7.007559690E-1,2.862895653E-2,-1.557947882E-2,4.261054099E-3
7.032689900E-1,2.969422005E-2,-1.451421529E-2,3.195790574E-3
7.057820100E-1,3.289001063E-2,-1.238368824E-2,4.261054099E-3
7.082950830E-1,3.395527601E-2,-1.238368824E-2,4.261054099E-3
7.108081040E-1,3.182474896E-2,-9.187897667E-3,6.391581148E-3
7.133211250E-1,3.928159177E-2,-4.926843569E-3,3.195790574E-3
7.158341460E-1,4.141211882E-2,-3.861580277E-3,2.130527049E-3
7.183472190E-1,4.460791126E-2,-7.057370618E-3,3.195790574E-3
7.208602400E-1,4.673843831E-2,-7.057370618E-3,4.261054099E-3
7.233732600E-1,4.993422702E-2,-3.861580277E-3,5.326317623E-3
7.258863330E-1,5.526054651E-2,-1.731053228E-3,6.391581148E-3
7.283993540E-1,5.952160060E-2,-1.731053228E-3,3.195790574E-3
7.309123750E-1,5.952160060E-2,-2.796316752E-3,4.261054099E-3
7.334253960E-1,6.165212765E-2,-4.926843569E-3,4.261054099E-3
7.359384690E-1,6.378265470E-2,-4.926843569E-3,4.261054099E-3
7.384514900E-1,6.804370880E-2,-1.731053228E-3,2.130527049E-3
7.409645100E-1,7.017423213E-2,-6.657897029E-4,3.195790574E-3
7.434775310E-1,7.017423213E-2,-6.657897029E-4,2.130527049E-3
7.459906040E-1,7.230476290E-2,-1.731053228E-3,0.000000000E0
7.485036250E-1,7.337002456E-2,-2.796316752E-3,0.000000000E0
7.510166460E-1,7.656581700E-2,-6.657897029E-4,1.065263525E-3
7.535297190E-1,7.869634032E-2,2.530000871E-3,-1.065263525E-3
7.560427400E-1,7.763107866E-2,3.994738217E-4,-2.130527049E-3
7.585557600E-1,7.869634032E-2,1.464737346E-3,-3.195790574E-3
7.610687810E-1,8.189213276E-2,-2.796316752E-3,-2.130527049E-3
7.635818540E-1,8.295739442E-2,-3.861580277E-3,-1.065263525E-3
7.660948750E-1,8.189213276E-2,-2.796316752E-3,-1.065263525E-3
7.686078960E-1,8.721844852E-2,-4.926843569E-3,-3.195790574E-3
7.711209170E-1,9.041424096E-2,-8.122634143E-3,-1.065263525E-3
7.736339900E-1,9.254477173E-2,-5.992107093E-3,2.130527049E-3
7.761470100E-1,9.680582583E-2,-8.122634143E-3,4.261054099E-3
7.786600310E-1,9.361003339E-2,-8.122634143E-3,4.261054099E-3
7.811731040E-1,9.467529505E-2,-7.057370618E-3,7.456844673E-3
7.836861250E-1,1.021321416E-1,-4.926843569E-3,7.456844673E-3
7.861991460E-1,1.053279340E-1,-5.992107093E-3,9.587371722E-3
7.887121670E-1,1.042626649E-1,-4.926843569E-3,9.587371722E-3
7.912252400E-1,1.074584574E-1,-2.796316752E-3,1.278316230E-2
7.937382600E-1,1.085237190E-1,-3.861580277E-3,1.384842582E-2
7.962512810E-1,1.042626649E-1,-1.731053228E-3,1.597895287E-2
7.987643020E-1,1.000016108E-1,1.464737346E-3,1.917474344E-2
8.012773750E-1,1.000016108E-1,3.595264396E-3,1.704421639E-2
8.037903960E-1,9.467529505E-2,2.530000871E-3,1.597895287E-2
8.063034170E-1,9.147950262E-2,6.791055202E-3,1.810947992E-2
8.088164900E-1,8.721844852E-2,9.986845776E-3,2.024000697E-2
8.113295100E-1,8.295739442E-2,8.921582252E-3,2.450106107E-2
8.138425310E-1,7.763107866E-2,8.921582252E-3,2.769685164E-2
8.163555520E-1,7.123950124E-2,9.986845776E-3,2.556632459E-2
8.188686250E-1,5.845633522E-2,9.986845776E-3,2.556632459E-2
8.213816460E-1,5.632580817E-2,5.725791678E-3,2.663158812E-2
8.238946670E-1,5.099949241E-2,6.791055202E-3,2.876211517E-2
8.264076880E-1,4.460791126E-2,1.464737346E-3,3.089264221E-2
8.289207600E-1,3.928159177E-2,-3.861580277E-3,2.769685164E-2
8.314337810E-1,3.182474896E-2,-5.992107093E-3,2.982737869E-2
8.339468020E-1,2.436790243E-2,-1.238368824E-2,3.195790574E-2
8.364598750E-1,1.904158480E-2,-1.451421529E-2,2.982737869E-2
8.389728960E-1,1.265000459E-2,-1.877526939E-2,3.089264221E-2
8.414859170E-1,1.051947754E-2,-2.090579644E-2,2.982737869E-2
8.439989380E-1,9.454214014E-3,-2.303632349E-2,2.769685164E-2
8.465120100E-1,3.062632633E-3,-2.303632349E-2,2.769685164E-2
8.490250310E-1,9.321055841E-4,-2.303632349E-2,2.769685164E-2
8.515380520E-1,4.127896391E-3,-2.410158701E-2,2.769685164E-2
8.540510730E-1,5.193159916E-3,-2.197105996E-2,2.769685164E-2
8.565641460E-1,4.127896391E-3,-1.877526939E-2,2.876211517E-2
8.590771670E-1,7.323686965E-3,-1.877526939E-2,3.089264221E-2
8.615901880E-1,7.323686965E-3,-1.664474234E-2,3.089264221E-2
8.641032080E-1,8.388950489E-3,-1.344895177E-2,3.621895984E-2
8.666162810E-1,9.454214014E-3,-9.187897667E-3,3.621895984E-2
8.691293020E-1,1.051947754E-2,-9.187897667E-3,3.728422523E-2
8.716423230E-1,1.051947754E-2,-9.187897667E-3,3.941474855E-2
8.741553960E-1,1.265000459E-2,-1.025316119E-2,4.367580265E-2
8.766684170E-1,1.051947754E-2,-8.122634143E-3,4.367580265E-2
8.791814380E-1,1.051947754E-2,-8.122634143E-3,4.261054099E-2
8.816944580E-1,9.454214014E-3,-8.122634143E-3,4.474106804E-2
8.842075310E-1,6.258423440E-3,-1.025316119E-2,4.900212213E-2
8.867205520E-1,5.193159916E-3,-1.025316119E-2,4.900212213E-2
8.892335730E-1,1.997369109E-3,-9.187897667E-3,4.793685675E-2
8.917465940E-1,9.321055841E-4,-9.187897667E-3,5.113264918E-2
8.942596670E-1,9.321055841E-4,-8.122634143E-3,5.432844162E-2
8.967726880E-1,-7.590002380E-3,-1.731053228E-3,5.219791085E-2
8.992857080E-1,-9.720529430E-3,-2.796316752E-3,5.326317623E-2
9.017987810E-1,-1.078579295E-2,3.994738217E-4,5.645896494E-2
9.043118020E-1,-1.291632000E-2,3.595264396E-3,5.645896494E-2
9.068248230E-1,-2.037316561E-2,3.595264396E-3,5.432844162E-2
9.093378440E-1,-2.356895618E-2,7.856318727E-3,5.432844162E-2
9.118509170E-1,-2.569948323E-2,1.211737283E-2,5.326317623E-2
9.143639380E-1,-2.889527380E-2,1.424789988E-2,5.219791085E-2
9.168769580E-1,-3.209106252E-2,1.424789988E-2,5.006738752E-2
9.193899790E-1,-3.315632790E-2,2.063948102E-2,4.900212213E-2
9.219030520E-1,-3.315632790E-2,2.277000807E-2,4.793685675E-2
9.244160730E-1,-3.528685495E-2,2.277000807E-2,5.113264918E-2
9.269290940E-1,-3.848264366E-2,2.703106217E-2,4.793685675E-2
9.294421670E-1,-3.528685495E-2,2.809632570E-2,5.006738752E-2
9.319551880E-1,-3.635211661E-2,3.129211441E-2,5.113264918E-2
9.344682080E-1,-3.635211661E-2,3.661843389E-2,5.006738752E-2
9.369812290E-1,-3.528685495E-2,3.555316851E-2,4.900212213E-2
9.394943020E-1,-3.528685495E-2,3.555316851E-2,5.326317623E-2
9.420073230E-1,-3.635211661E-2,3.874896094E-2,5.539370328E-2
9.445203440E-1,-3.848264366E-2,3.874896094E-2,5.113264918E-2
9.470334170E-1,-3.635211661E-2,3.555316851E-2,5.219791085E-2
9.495465420E-1,-3.741738200E-2,3.235737979E-2,5.539370328E-2
9.520597190E-1,-3.741738200E-2,3.235737979E-2,5.965475738E-2
9.545728440E-1,-3.422158957E-2,2.916158922E-2,5.752423033E-2
9.570860210E-1,-3.315632790E-2,2.703106217E-2,5.539370328E-2
